FMID,season,seasonOpenning,seasonClosing,seasonTime
1003408,"November - November","November ",November,"Sat:9:00 am - 12:00 pm;"
1011530,"January - December","January "," December","Sat: 8:00 AM-1:00 PM;"
1011531,"January - December","January "," December","Sat: 8:00 AM-1:00 PM;"
1019123,"June - September","June "," September","Tue: 5:00 PM-8:00 PM;"
1011842,"January - December","January "," December","Fri: 10:00 AM-2:00 PM;"
1011848,"September - December","September "," December","Wed: 10:00 AM-2:00 PM;"
1011144,"January - December","January "," December","Tue: 10:00 AM-2:00 PM;"
1011849,"January - December","January "," December","Fri: 4:30 PM-7:30 PM;"
1018224,"October - May","October "," May","Sat: 9:00 AM-1:00 PM;Sun: 9:00 AM-1:00 PM;"
1016884,"January - December","January "," December","Mon: 10:00 AM-5:00 PM;Tue: 10:00 AM-5:00 PM;Wed: 10:00 AM-5:00 PM;Thu: 10:00 AM-5:00 PM;Fri: 10:00 AM-5:00 PM;"
1002382,"April - October","April ",October,"Wed: 3:00 PM-7:00 PM;"
1003808,"May - September","May "," September","Sat: 10:00 AM-1:00 PM;"
1000958,"November - April","November "," April","Sat: 8:00 AM-12:00 PM;"
1003332,"September - October","September ",October,"Wed: 4:00 PM-7:00 PM;"
1008916,"April - December","April "," December","Sun: 8:00 AM-3:00 PM;"
1002803,"April - October","April ",October,"Tue: 4:00 PM-7:00 PM;"
1010427,"May - October","May ",October,"Fri: 12:00 PM-6:00 PM;"
1001648,"January - December","January "," December","Sat: 9:00 AM-1:00 PM;"
1018989,"June - September","June "," September","Thu: 4:00 PM-7:00 PM;"
1003299,"May - October","May ",October,"Wed: 3:00 PM-6:00 PM;"
1011136,"June - October","June ",October,"Wed: 11:00 AM-3:00 PM;"
1000058,"January - December","January "," December","Sat: 8:00 AM-4:00 PM;"
1004605,"June - November","June ",November,"Sun: 8:00 AM-2:00 PM;"
1006490,"June - September","June "," September","Thu:4:30 PM - 6:30 PM;"
1002741,"January - December","January "," December","Sun: 9:30 AM-1:30 PM;"
1018373,"January - December","January "," December","Thu: 9:00 AM-1:00 PM;"
1000734,"May - October","May ",October,"Tue: 4:00 PM-6:00 PM;Sat: 8:00 AM-12:00 PM;"
1012842,"January - December","January "," December","Tue: 7:00 AM-12:00 PM;Sat: 7:00 AM-12:00 PM;"
1018505,"November - December","November "," December","Thu: 4:00 PM-6:00 PM;Sat: 9:00 AM-11:00 AM;"
1010160,"April - September","April "," September","Sat: 2:00 PM-4:00 PM;"
1002838,"May - October","May ",October,"Wed: 3:00 PM-7:00 PM;"
1010159,"May - October","May ",October,"Fri: 3:00 PM-7:00 PM;"
1008067,"May - September","May "," September","Thu: 4:00 AM-7:00 PM;"
1002091,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1000757,"May - September","May "," September","Sat: 9:00 AM-1:00 PM;"
1001487,"August - August",August," August","Sat:9:00 AM - 12:00 PM;"
1003209,"June - October","June ",October,"Thu:3:00 PM - 7:00 PM;"
1002901,"June - September","June "," September","Tue: 3:00 PM-7:00 PM;"
1008457,"May - November","May ",November,"Wed: 3:00 PM-7:00 PM;"
1001037,"June - September","June "," September","Sat: 8:00 AM-12:00 PM;"
1010121,"May - ","May "," ","Fri: 10:00 AM-6:00 PM;"
1018231,"January - December","January "," December","Sun: 9:00 AM-1:00 PM;"
1011779,"January - December","January "," December","Tue: 12:00 PM-6:00 PM;Wed: 12:00 PM-6:00 PM;Thu: 12:00 PM-6:00 PM;Fri: 12:00 PM-6:00 PM;Sat: 9:00 AM-3:00 PM;Sun: 10:00 AM-2:00 PM;"
1000396,"January - November","January ",November,"Sat:10:00 AM - 3:00 PM;"
1010124,"June - September","June "," September","Sat: 8:00 AM-12:00 PM;"
1008676,"June - September","June "," September","Fri: 3:00 PM-6:00 PM;"
1019101,"June - September","June "," September","Tue: 4:00 PM-8:00 PM;"
1018249,"June - October","June ",October,"Sat: 8:00 AM-12:00 PM;"
1018836,"May - October","May ",October,"Wed: 3:00 PM-7:00 PM;Sat: 9:00 AM-1:00 PM;"
1012426,"June - October","June ",October,"Thu: 12:00 PM-5:30 PM;"
1002880,"May - October","May ",October,"Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-2:00 PM;"
1005303,"June - November","June ",November,"Tue: 2:00 PM-6:00 PM;"
1000924,"January - December","January "," December","Sat:9:00 am - 1:00 pm;"
1005988,"April - October","April ",October,"Sun: 10:00 AM-2:00 PM;"
1007247,"June - October","June ",October,"Sat: 8:00 AM-12:00 PM;"
1019298,"May - October","May ",October,"Tue: 7:00 AM-12:00 PM;Thu: 7:00 AM-12:00 PM;"
1008403,"July - September","July "," September","Tue: 3:00 PM-6:00 PM;"
1011098,"November - April","November "," April","Sat: 9:00 AM-12:00 PM;"
1018226,"January - December","January "," December","Sat: 8:00 AM-12:00 PM;"
1012065,"June - October","June ",October,"Fri: 12:00 PM-6:00 PM;"
1019147,"May - September","May "," September","Sat: 8:00 AM-12:00 PM;"
1005786,"January - December","January "," December","Mon:9:00 AM - 1:00 PM;Tue:9:00 AM - 1:00 PM;Wed:9:00 AM - 1:00 PM;Thu:9:00 AM - 1:00 PM;Fri:9:00 AM - 1:00 PM;Sat:9:00 AM - 1:00 PM;"
1000249,"June - October","June ",October,"sun:10:00 AM - 2:00 PM;"
1018251,"June - September","June "," September","Wed: 3:30 PM-6:30 PM;"
1018035,"June - September","June "," September","Sat: 9:00 AM-1:00 PM;"
1004223,"May - October","May ",October,"Tue: 6:30 AM-3:00 PM;Thu: 6:30 AM-3:00 PM;Fri: 6:30 AM-3:00 PM;Sat: 6:30 AM-3:00 PM;"
1008093,"June - September","June "," September","Wed: 3:00 PM-6:00 PM;"
1018741,"May - October","May ",October,"Tue: 11:00 AM-1:00 PM;Fri: 4:00 PM-7:00 PM;"
1000970,"July - October","July ",October,"Sat: 8:00 AM-12:00 PM;"
1008272,"May - October","May ",October,"Sun: 9:00 AM-1:00 PM;"
1010115,"June - September","June "," September","Thu: 4:00 PM-8:00 PM;"
1006031,"November - December","November "," December","Sat: 8:00 AM-1:00 PM;"
1004606,"May - November","May ",November,"Thu:4:00 PM - 7:00 PM;"
1011514,"May - October","May ",October,"Thu: 3:00 PM-6:00 PM;"
1011191,"May - October","May ",October,"Sat: 9:00 AM-1:00 PM;"
1011192,"November - May","November "," May","Sat: 10:00 AM-1:00 PM;"
1000184,"May - October","May ",October,"Wed: 2:00 AM-7:00 PM;"
1012429,"March - June","March "," June","Sat: 9:00 AM-1:00 PM;"
1011816,"July - November","July ",November,"Sat: 10:00 AM-3:00 PM;"
1018415,"May - October","May ",October,"Wed: 4:00 PM-7:00 PM;"
1008393,"June - September","June "," September","Fri: 1:00 PM-5:00 PM;"
1001599,"July - October","July ",October,"Sat: 11:00 AM-4:00 PM;"
1012645,"January - December","January "," December","Tue: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;Sun: 10:00 AM-2:00 PM;"
1019600,"March - December","March "," December","Wed: 3:00 PM-7:00 PM;"
1007678,"June - October","June ",October,"Tue: 3:30 PM-6:30 PM;Sat: 8:00 AM-1:00 PM;"
1010928,"January - December","January "," December","Wed: 2:00 PM-6:00 PM;Sat: 10:00 AM-2:00 PM;"
1010457,"January - December","January "," December","Sat: 9:00 AM-2:00 PM;"
1008319,"June - October","June ",October,"Sun: 10:00 AM-2:00 PM;"
1019404,"March - December","March "," December","Tue: 10:30 AM-11:30 AM;"
1012349,"May - September","May "," September","Thu: 4:00 PM-7:00 PM;"
1002912,"June - September","June "," September","Wed: 4:30 PM-6:30 PM;"
1008170,"June - September","June "," September","Sat: 9:00 AM-1:00 PM;"
1012466,"June - November","June ",November,"Tue: 10:00 AM-5:00 PM;Wed: 11:00 AM-5:00 PM;Thu: 9:00 AM-3:00 PM;Fri: 10:00 AM-12:00 PM;Sat: 10:00 AM-1:00 PM;"
1000820,"January - December","January "," December","Sun: 8:30 AM-1:00 PM;"
1000819,"January - December","January "," December","Sat: 9:00 AM-2:00 PM;"
1018679,"April - October","April ",October,"Thu: 3:00 PM-7:00 PM;"
1018670,"May - September","May "," September","Sun: 10:00 AM-2:00 PM;"
1018676,"May - October","May ",October,"Tue: 11:00 AM-2:00 PM;"
1018680,"April - November","April ",November,"Tue: 3:00 PM-7:00 PM;"
1018671,"January - March","January "," March","Sun: 10:00 AM-1:00 PM;"
1018677,"May - October","May ",October,"Sat: 10:00 AM-2:00 PM;"
1018675,"April - November","April ",November,"Thu: 3:00 PM-7:00 PM;"
1018681,"May - September","May "," September","Wed: 4:00 PM-8:00 PM;"
1018678,"January - March","January "," March","Sat: 10:00 AM-1:00 PM;"
1008595,"April - August","April "," August","Fri: 5:30 PM-10:00 PM;"
1009706,"June - September","June "," September","Fri: 3:00 PM-7:00 PM;"
1003418,"September - June","September "," June","Fri: 11:00 AM-6:00 PM;"
1011730,"January - December","January "," December","Sat: 8:00 AM-12:00 PM;"
1010955,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1010765,"December - December","December "," December","Sat: 6:00 AM-3:00 PM;"
1012762,"May - October","May ",October,"Fri: 9:30 AM-1:00 PM;"
1011181,"May - October","May ",October,"Sat: 9:00 AM-1:00 PM;"
1006245,"June - September","June "," September","Sat: 8:30 AM-12:30 PM;"
1000071,"June - November","June ",November,"Tue: 8:00 AM-4:00 PM;"
1019284,"May - September","May "," September","Sat: 9:00 AM-1:00 PM;"
1019285,"October - May","October "," May","Sat: 9:00 AM-1:00 PM;"
1011620,"May - November","May ",November,"Thu: 12:30 PM-6:00 PM;"
1007386,"January - December","January "," December","Wed:1:30 PM - 7:00 PM;Fri:1:30 PM - 7:00 PM;sun:11:00 AM - 3:00 PM;"
1018121,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1012520,"June - October","June ",October,"Fri: 10:00 AM-6:00 PM;"
1003170,"May - October","May ",October,"Sat: 8:30 AM-1:00 PM;"
1004387,"May - October","May ",October,"Sat:8:00 AM - 1:00 PM;"
1008566,"May - September","May "," September","Wed: 3:30 PM-6:00 PM;"
1006661,"November - April","November "," April","Sat: 10:00 AM-1:00 PM;"
1008569,"March - September","March "," September","Fri: 9:00 AM-2:00 PM;Sat: 9:00 AM-2:00 PM;"
1009720,"May - October","May ",October,"Sat: 9:00 AM-3:00 PM;"
1018488,"May - October","May ",October,"Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-2:00 PM;"
1005120,"June - September","June "," September","Sat: 9:00 AM-12:00 PM;"
1011814,"January - December","January "," December","Sun: 8:30 AM-1:00 PM;"
1001947,"May - November","May ",November,"Sun: 9:00 AM-2:00 PM;"
1003278,"May - October","May ",October,"Thu: 3:00 PM-7:00 PM;Sat: 10:00 AM-1:00 PM;"
1004794,"June - October","June ",October,"Sat: 8:30 AM-11:30 AM;"
1004056,"January - December","January "," December","Sat:9:00 am - 1:00 pm;"
1011794,"May - November","May ",November,"Fri: 11:00 AM-3:00 PM;"
1018970,"June - September","June "," September","Sat: 7:00 AM-12:00 PM;"
1011786,"April - November","April ",November,"Thu: 2:00 PM-6:00 PM;"
1001963,"October - March","October "," March","Fri:4:00 PM - 8:00 PM;sun:10:00 AM - 3:00 PM;"
1004066,"May - September","May "," September","Thu: 9:00 AM-2:00 PM;"
1002720,"November - April","November "," April","Sat: 11:30 AM-2:00 PM;"
1002510,"May - October","May ",October,"Wed: 3:00 PM-6:00 PM;"
1002373,"May - October","May ",October,"Sat: 10:00 AM-1:00 PM;"
1018831,"May - September","May "," September","Thu: 4:00 PM-7:00 PM;"
1019587,"July - October","July ",October,"Wed: 9:00 AM-2:00 PM;"
1000774,"April - November","April ",November,"Tue: 7:30 AM-12:30 PM;Thu: 7:30 AM-12:30 PM;Sat: 7:30 AM-12:30 PM;"
1009921,"October - ","October "," ","Fri: 3:00 PM-7:00 PM;"
1002524,"May - August","May "," August","Sat: 8:00 AM-12:00 PM;"
1006240,"May - October","May ",October,"Wed: 2:00 PM-6:00 PM;"
1018547,"May - October","May ",October,"Sat: 9:00 AM-12:00 PM;"
1000845,"June - October","June ",October,"Thu: 3:00 PM-6:30 PM;"
1010029,"May - October","May ",October,"Tue: 5:00 PM-7:00 PM;"
1002300,"June - October","June ",October,"Thu:7:30 AM - 1:00 PM;"
1017980,"June - October","June ",October,"Sat: 10:00 AM-2:00 PM;"
1012691,"April - November","April ",November,"Sun: 9:00 AM-2:00 PM;"
1000011,"April - October","April ",October,"Sat:8:00 AM - 1:00 PM;"
1008166,"January - December","January "," December","Thu: 3:30 PM-6:30 PM;"
1012033,"May - October","May ",October,"Sat: 8:00 AM-1:00 PM;"
1003354,"May - September","May "," September","Wed: 3:00 PM-6:00 PM;"
1004356,"May - October","May ",October,"Wed: 3:00 PM-7:00 PM;"
1008155,"January - December","January "," December","Sat: 8:00 AM-12:00 PM;"
1008159,"January - December","January "," December","Wed: 2:00 PM-6:00 PM;Sat: 8:00 AM-12:00 PM;"
1005298,"June - November","June ",November,"Fri: 2:00 PM-6:00 PM;"
1009958,"June - September","June "," September","Wed: 4:00 PM-7:00 PM;"
1019602,"July - September","July "," September","Thu: 11:00 AM-2:30 PM;"
1019603,"July - September","July "," September","Tue: 11:00 AM-2:30 PM;"
1019604,"July - July","July "," July","Tue: 11:00 AM-2:30 PM;"
1019605,"July - September","July "," September","Thu: 11:00 AM-2:30 PM;"
1019606,"August - September",August," September","Wed: 11:00 AM-2:30 PM;"
1019607,"July - September","July "," September","Wed: 11:00 AM-2:30 PM;"
1019608,"August - August",August," August","Thu: 11:00 AM-2:30 PM;"
1011886,"May - December","May "," December","Mon: 6:00 AM-3:00 PM;Tue: 6:00 AM-3:00 PM;Wed: 6:00 AM-3:00 PM;Thu: 6:00 AM-3:00 PM;Fri: 6:00 AM-12:00 PM;Sat: 6:00 AM-3:00 PM;"
1005430,"July - October","July ",October,"Thu:3:00 pm - 5:30 pm;"
1003700,"April - September","April "," September","Sat:8:30 am - 2:00 pm;"
1003701,"June - September","June "," September","Wed:12:00 pm - 5:00 pm;"
1011962,"October - April","October "," April","Sat: 8:00 AM-12:00 PM;"
1006932,"July - October","July ",October,"Sat: 8:00 AM-12:00 PM;"
1003690,"May - October","May ",October,"Sat:9:00 AM - 3:00 PM;"
1004244,"May - October","May ",October,"Sat: 8:00 AM-12:00 PM;"
1000844,"June - November","June ",November,"sun:10:00 am - 2:00 pm;"
1003952,"April - October","April ",October,"Sat: 8:00 AM-12:00 PM;"
1008573,"November - April","November "," April","Wed: 2:00 PM-6:00 PM;"
1009799,"June - September","June "," September","Sat: 9:00 AM-2:00 PM;"
1001630,"May - October","May ",October,"Sat: 9:00 AM-1:00 PM;"
1012433,"July - October","July ",October,"Fri: 3:00 PM-6:00 PM;Sat: 8:00 AM-12:00 PM;"
1011613,"May - October","May ",October,"Fri: 3:00 PM-7:00 PM;"
1002767,"June - September","June "," September","Tue: 9:00 AM-1:00 PM;"
1011376,"March - November","March ",November,"Sun: 10:00 AM-2:00 PM;"
1012623,"May - October","May ",October,"Sun: 10:00 AM-1:00 PM;"
1016888,"June - October","June ",October,"Sun: 10:00 AM-2:00 PM;"
1005588,"June - September","June "," September","Tue:7:00 AM - 1:00 PM;"
1000892,"June - October","June ",October,"Thu: 3:00 PM-6:00 PM;"
1012381,"June - September","June "," September","Sat: 8:00 AM-1:00 PM;"
1018066,"October - May","October "," May","Sat: 9:00 AM-1:00 PM;"
1003876,"June - October","June ",October,"Wed:1:00 pm - 3:00 pm;"
1001217,"June - October","June ",October,"Sat: 9:00 AM-12:00 PM;"
1008418,"May - September","May "," September","Sat: 8:00 AM-12:00 PM;"
1010085,"May - November","May ",November,"Sat: 9:00 AM-1:00 PM;"
1003511,"May - November","May ",November,"Sat: 9:00 AM-1:00 PM;"
1006699,"June - November","June ",November,"Sat: 7:30 AM-3:00 PM;"
1019414,"June - October","June ",October,"Sun: 9:00 AM-2:00 PM;"
1003531,"June - September","June "," September","Tue: 4:00 PM-8:00 PM;"
1010247,"June - September","June "," September","Sat: 8:00 AM-11:00 AM;"
1004269,"May - November","May ",November,"Sat: 9:00 AM-1:00 PM;"
1005453,"May - October","May ",October,"Sat: 8:30 AM-12:30 PM;"
1002036,"May - October","May ",October,"Fri: 9:00 AM-1:00 PM;"
1017990,"June - November","June ",November,"Thu: 8:00 AM-12:30 PM;"
1005099,"June - October","June ",October,"Sat: 8:00 AM-1:00 PM;"
1008863,"January - December","January "," December","Sat: 9:30 AM-1:30 PM;"
1007378,"July - October","July ",October,"Tue: 7:00 AM-12:00 PM;Thu: 7:00 AM-12:00 PM;Sat: 7:00 AM-12:00 PM;"
1018354,"May - October","May ",October,"Sat: 9:00 AM-2:00 PM;"
1004321,"January - March","January "," March","Sat:11:00 AM - 3:00 PM;"
1012509,"April - December","April "," December","Sun: 10:00 AM-3:00 PM;"
1012510,"July - August","July "," August","Sat: 8:00 AM-12:00 PM;"
1012311,"June - September","June "," September","Wed: 3:00 PM-6:00 PM;"
1005294,"July - October","July ",October,"Sat: 8:00 AM-11:00 AM;"
1011111,"May - October","May ",October,"Thu: 3:30 PM-6:30 PM;"
1012498,"October - May","October "," May","Sat: 8:00 AM-12:00 PM;"
1005829,"May - November","May ",November,"Sat: 8:00 AM-2:00 PM;"
1003638,"January - ","January "," ","Thu: 7:00 AM-11:00 AM;"
1018590,"July - October","July ",October,"Sat: 8:00 AM-1:00 PM;"
1010051,"June - August","June "," August","Thu: 5:00 PM-7:00 PM;"
1003279,"June - September","June "," September","Wed: 4:00 PM-7:00 PM;"
1008475,"June - October","June ",October,"Fri: 2:00 PM-6:00 PM;"
1012253,"May - October","May ",October,"Fri: 10:00 AM-5:00 PM;"
1018747,"January - December","January "," December","Sat: 8:00 AM-1:00 PM;"
1009085,"July - ","July "," ","Sat: 9:30 AM-12:30 PM;"
1000285,"June - October","June ",October,"Sat:7:00 AM - 1:00 PM;"
1018603,"July - September","July "," September","Thu: 4:30 PM-6:30 PM;"
1008678,"June - October","June ",October,"Thu: 9:00 AM-2:00 PM;"
1008109,"June - August","June "," August","Fri: 9:00 AM-1:00 PM;"
1009007,"June - September","June "," September","Wed: 3:00 PM-7:00 PM;"
1005994,"May - November","May ",November,"Fri:3:00 PM - 7:00 PM;"
1010261,"June - October","June ",October,"Fri: 3:00 PM-7:00 PM;"
1012246,"May - October","May ",October,"Wed: 3:00 PM-6:00 PM;Sat: 1:00 PM-4:00 PM;"
1018586,"June - September","June "," September","Tue: 4:30 PM-6:30 PM;"
1018723,"June - October","June ",October,"Wed: 2:00 PM-6:00 PM;"
1001715,"July - October","July ",October,"Sat: 8:00 AM-4:30 PM;"
1001756,"July - October","July ",October,"Sat: 8:00 AM-12:00 PM;"
1000104,"January - December","January "," December","Sat: 8:00 AM-4:00 PM;"
1010774,"January - January","January ",January,"Sat: 9:00 AM-1:00 PM;"
1008578,"April - September","April "," September","Sat: 10:00 AM-1:00 PM;"
1009048,"May - October","May ",October,"Wed: 8:00 AM-1:00 PM;Sat: 8:00 AM-1:00 PM;"
1010574,"June - October","June ",October,"Wed: 4:30 PM-7:30 PM;"
1007376,"January - December","January "," December","Sat: 8:00 AM-2:00 PM;Sun: 11:00 AM-4:00 PM;"
1012529,"January - December","January "," December","Sat: 9:00 AM-2:00 PM;"
1018308,"March - December","March "," December","Sat: 8:00 AM-1:00 PM;"
1005937,"May - October","May ",October,"Wed: 8:00 AM-1:00 PM;Sat: 8:00 AM-1:00 PM;"
1017947,"November - March","November "," March","Sat: 10:00 AM-1:00 PM;"
1002268,"July - October","July ",October,"Mon: 10:00 AM-7:00 PM;Sat: 10:00 AM-7:00 PM;Sun: 10:00 AM-7:00 PM;"
1001635,"July - October","July ",October,"Sat: 10:00 AM-1:00 PM;"
1010149,"October - April","October "," April","Tue: 2:00 PM-6:00 PM;Thu: 2:00 PM-6:00 PM;Sat: 8:00 AM-2:00 PM;"
1012395,"July - September","July "," September","Thu: 6:00 PM-8:00 PM;Sat: 9:00 AM-1:00 PM;"
1005463,"June - October","June ",October,"Fri: 3:00 PM-;"
1001531,"May - October","May ",October,"Tue:9:00 AM - 5:00 PM;Fri:9:00 AM - 5:00 PM;Sat:9:00 AM - 4:00 PM;"
1001530,"May - October","May ",October,"Fri:8:00 AM - 12:00 PM;Sat:8:00 AM - 12:00 PM;"
1001532,"June - September","June "," September","Mon:10:00 AM - 2:00 PM;Tue:10:00 AM - 2:00 PM;"
1018611,"January - December","January "," December","Sun: 9:00 AM-1:00 PM;"
1007222,"May - October","May ",October,"Fri:12:00 PM - 6:00 PM;"
1018462,"August - October",August,October,"Sat: 9:00 AM-12:00 PM;"
1016781,"March - October","March ",October,"Sat: 9:00 AM-1:00 PM;"
1003688,"June - October","June ",October,"Fri:11:00 AM - 3:00 PM;"
1005193,"May - October","May ",October,"Tue: 3:00 PM-6:00 PM;Sat: 8:30 AM-12:00 PM;"
1016913,"May - September","May "," September","Sun: 1:00 PM-5:00 PM;"
1005192,"June - September","June "," September","Tue: 3:00 PM-6:00 PM;"
1018346,"July - November","July ",November,"Tue: 9:00 AM-4:00 PM;Sat: 9:00 AM-4:00 PM;"
